_address,_time,_date,_type,_body,_read,_service_center,_name
RM-ROTITG,Jun 28  2016 10:44:43 AM,1467090883727,1,Special Offer for our regular customers. Order directly to get same online 20% Flat off FREE Delivery Roti The Grill 0120-4333372 0120-6406500,1,+919022000511,Manuf. Date
+919160654115,Jun 28  2016 9:35:11 AM,1467086711360,1,Hi xxx  this is Shravya from Right minds consulting. This is a gentle reminder regarding today's interview with Gwynniebee at 3 pm.  Please confirm.  Thanks  Shravya.,1,+919885005444,
VM-KOTAKS,Jun 28  2016 8:58:00 AM,1467084480628,1,KALRT: Intl Updt(8.45AM): SGX Nifty 8080.50 DOW 17140.24(-260.51)HANGSE 20084.18(-143.12)FII: Net -146.11Cr Buy 3420.30Cr Sell 3566.41Cr http://bit.ly/M-Insight,1,+919820405904,Manuf. Date
VK-KOTAKB,Jun 28  2016 7:01:58 AM,1467077518887,1,Avbl Bal for A/c XXXX6486  as on 27-06-2016 is INR 19488.22. Combined Avbl Bal is INR 19488.22. Use Mobile Banking App to track A/c (app.kotak.com),1,+919830000187,Manuf. Date
DM-URCLAP,Jun 28  2016 2:04:38 AM,1467059678778,1,You have a new lead from manav uppal. Please respond immediately - http://onelink.to/ucpro  In case of any queries  call 18604204226.   -Team UrbanClap,1,+919768399176,Manuf. Date
DM-URCLAP,Jun 27  2016 11:04:45 PM,1467048885053,1,You have a new lead from manav uppal. Please respond immediately - http://onelink.to/ucpro  In case of any queries  call 18604204226.   -Team UrbanClap,1,+919768399174,Manuf. Date
VM-MYNTRA,Jun 27  2016 7:05:46 PM,1467034546482,1,India's Biggest Fashion Sale  EORS is coming your way with 50% - 80% OFF! From 2nd - 3rd July India  Tayyar Ho Jao!! http://chk.bz/9ug1kpi1dq,1,+919820405904,Manuf. Date
VD-VFCARE,Jun 27  2016 7:05:03 PM,1467034503271,1,Welcome to Vodafone 4G! As a gift from our end you get 90days subscription to online movies & entertainment on Hungama Play & HOOQ worth Rs1494 Absolutely FREE. Just Install Vodafone Play App from http://bit.ly/23JfAxV and claim ur free gift. First login on the App needs to be on Vodafone mobile network. TnC Apply.,1,+919811001057,Manuf. Date
VD-611123,Jun 27  2016 6:43:20 PM,1467033200557,1,Apni samasyaon ka samadhan paye Panditji se wo bhi chutkiyon mein  saath hi jaanein aj ka vishesh rashifal. Call 55315 ¡ Rs9/Minute,1,+919811001057,
DM-PAYBAK,Jun 27  2016 6:37:48 PM,1467032868314,1,CENTRAL Happiness Sale Preview for PAYBACK Members from 28 - 30 Jun! Get Upto 51% + Additional 10% OFF on Axis Bank card or 10% cashback on MobiKwik! .TnC,1,+919768399175,Manuf. Date
DM-URCLAP,Jun 27  2016 6:29:06 PM,1467032346285,1,Dear UC Partner   We noticed that you have not updated your profile.  In case you missed it  please fill the following google form: http://tinyurl.com/UrbanClapPartner  In case you are facing issues with UrbanClap  please call on +919560866889.  Please ignore if you have already sent across the details.  Team UrbanClap,1,+919768399176,Manuf. Date
VM-OLACAB,Jun 27  2016 6:09:08 PM,1467031148063,1,VIKAS SAINI   (9718045485) is on the way to your location in a White WagonR DL1RTA5006. You are paying Rs. 95 for this ride. Share OSN99220075 only on boarding cab.,1,+919820405560,Manuf. Date
VM-KOTAKB,Jun 27  2016 6:06:11 PM,1467030971476,1,Rs.  832.50 is debited from your a/c.  XX16486 towards  IRCTCNEW - Ticketing  via Kotak Net-Banking Ref. No : 0004063895,1,+919820405560,Manuf. Date
IX-OLACAB,Jun 27  2016 6:05:41 PM,1467030941460,1,Your ride with NISHANT  (DL1RTA6358) has been cancelled. We look forward to serving you again.,1,+919844047239,Manuf. Date
VM-KOTAKB,Jun 27  2016 6:04:38 PM,1467030878968,1,Rs.  832.50 is debited from your a/c.  XX16486 towards  IRCTCNEW - Ticketing  via Kotak Net-Banking Ref. No : 0004063866,1,+919820405560,Manuf. Date
VM-OLACAB,Jun 27  2016 6:02:24 PM,1467030744354,1,NISHANT  (9871762124) is on the way to your location in a White WagonR DL1RTA6358. You are paying Rs. 95 for this ride. Share OSN99214325 only on boarding cab.,1,+919820405936,Manuf. Date
DM-IRCTCi,Jun 27  2016 5:57:32 PM,1467030452045,1,PNR:2119772672 TRAIN:14207 DOJ:16-07-16 2A SPN-GZB Dep:00:20  xxx xxx RLWL 1  Fare:775 SC:46.0+PG CHGS,1,+919768399175,Manuf. Date
VM-KOTAKB,Jun 27  2016 5:57:01 PM,1467030421300,1,872631 is your Dynamic Access Code for CRN XXX7833.,1,+919820405936,Manuf. Date
DM-IRCTCi,Jun 27  2016 5:52:01 PM,1467030121199,1,PNR:2700035194 TRAIN:14206 DOJ:11-07-16 2A GZB-SPN Dep:19:20  xxx xxx HA1 6  Fare:775 SC:46.0+PG CHGS,1,+919768399175,Manuf. Date
VM-KOTAKB,Jun 27  2016 5:51:16 PM,1467030076783,1,036924 is your Dynamic Access Code for CRN XXX7833.,1,+919820405936,Manuf. Date
VM-040330,Jun 27  2016 4:45:21 PM,1467026121809,1,Now  save FLAT 50% on all Ola Share rides valid from 8am to 1pm and 5pm to 10pm. Also book 2 seats and get a friend along for free. Book your Share now! TCA,1,+919820405905,
VM-OLACAB,Jun 27  2016 4:21:01 PM,1467024661564,1,Your ride with Dori Lal (DL1RT9695) has been cancelled. We look forward to serving you again.,1,+919820405560,Manuf. Date
VK-OLACAB,Jun 27  2016 4:20:47 PM,1467024647176,1,Dori Lal (8745007451) is on the way to your location in a White Alto DL1RT9695. You are paying Rs. 133 for this ride. Share OSN99104625 only on boarding cab.,1,+919830000187,Manuf. Date
VM-KOTAKS,Jun 27  2016 4:19:01 PM,1467024541065,1,KALRT: Market Update (Closed): Sensex 26402.96(+5.25)  Nifty 8094.70(+6.10),1,+919820405936,Manuf. Date
VM-KOTAKS,Jun 27  2016 4:04:04 PM,1467023644181,1,KALRT: Investing after Brexit. 15 stock picks exclusively for you. http://bit.ly/brexitpicks,1,+919820405904,Manuf. Date
VK-LETMED,Jun 27  2016 4:03:51 PM,1467023631351,1,Thank You for Registering with LetMeDrive ! Your Mobile Verification Code - 4247 for Mobile Number 9999301628. Please verify your Mobile Number.,1,+919830000187,Manuf. Date
VM-SPCTNT,Jun 27  2016 3:49:59 PM,1467022799672,1,Dear Customer ? your?SR number SR1606209635 has been successfully resolved. Please contact Spectranet for any?further support.,1,+919820405560,Manuf. Date
+918826195111,Jun 27  2016 3:08:04 PM,1467020284815,1,+91 99998 78391 Naveen,1,+919810051829,
VK-KSTECH,Jun 27  2016 2:42:21 PM,1467018741223,1,KALRT : BUY KWALITY @ 112 115 SL 105 TGT 130 140 http://bit.ly/SMSDisc,1,+919830000184,Manuf. Date
VM-MGCBRK,Jun 27  2016 1:48:47 PM,1467015527234,1,Dear xxx xxx  11 new owner properties are posted in Mumbai. Download the app and get properties on the go www.goo.gl/Wgo8sQ,1,+919820405936,Manuf. Date
‪+91 99 68 092899‬,Jun 27  2016 1:20:03 PM,1467013803954,2,Waiting for you..  Please come fast,1,,navendu saxena
VK-440610,Jun 27  2016 1:14:47 PM,1467013487262,1,Earn 15 000/- to 70 000/- per month Simple Typing Work Guaranteed Income Govt.Reg.+ ISO Certified + India's Largest Company Rajendra Place Call Neha 9911726327,1,+919830000185,
‪+91 99 68 092899‬,Jun 27  2016 1:08:37 PM,1467013117266,2,Agr abhu tak nhi nikle toh mat aao..  I will manage ,1,,navendu saxena
VD-611112,Jun 27  2016 1:07:02 PM,1467013022643,1,Ji haan..! Ghar lejaiye Split AC  Refrigerator aur dhero Discount Vouchers sirf Rs49 mein. Click karein http://m.mydelights.in/pr/346 (Browsing Charges Apply),1,+919811001057,
VK-KSTECH,Jun 27  2016 12:59:17 PM,1467012557061,1,KALRT:  BUY NSEFUT M&M JUL @ 1393 1398 SL 1370 TGT 1440 1470 . Time Horizon : 20 Days http://bit.ly/SMSDisc,1,+919830000185,Manuf. Date
‪+91 99 68 092899‬,Jun 27  2016 12:53:01 PM,1467012181052,2,Reliance Mobile Store  https://goo.gl/maps/u1mV2uGZ4gk,1,,navendu saxena
099680 92899,Jun 27  2016 12:26:21 PM,1467010581635,2,Call me when free,1,,navendu saxena
098102 90509,Jun 27  2016 12:25:58 PM,1467010558013,2,45mins me pahuch rha hu..  Yaha se nikal gya,1,,Ilyas Khan WagonR
VM-KSTECH,Jun 27  2016 12:01:25 PM,1467009085782,1,KALRT: BUY NSEFUT RELIANCE JUL @ 964 968 SL 950 TGT 990 1020 . Time Horizon : 20 Days http://bit.ly/SMSDisc,1,+919820405936,Manuf. Date
DM-DOMINO,Jun 27  2016 11:38:30 AM,1467007710117,1,"Dominos Super Value Offer ""Only For You""; Buy 1 Pizza Get 1 Pizza FREE TODAY; WalkIn/Call@ 68886888/Order Online/Mobile@ dominos.co.in Cpn: CRME25FD831F1 T&C",1,+919768399176,Manuf. Date
VK-BIGBKT,Jun 27  2016 10:50:54 AM,1467004854080,1,Dear Customer   Your order MDO-12037390-260616 has been delivered at June 27  2016  10:26 a.m..  For any issues related to this delivery  please contact us at 1860-123-1000 or email to customerservice@bigbasket.com. Please click on the link below to rate the overall bigbasket experience related to this delivery. http://goo.gl/yMciGu Your rating helps us to serve you better. Thanking you  Team bigbasket,1,+919830000187,Manuf. Date
VM-KSTECH,Jun 27  2016 10:05:00 AM,1467002100136,1,KALRT:BUY NSEFUT ASIANPAINT JUN @ 988 992 SL 970 TGT 1025 1035 . Time Horizon : 20 Days;,1,+919820405904,Manuf. Date
099112 16662,Jun 27  2016 9:33:39 AM,1467000219896,2,Maine call kiya tha usko.... Woh 12 bje bol rha h,1,,Nimish Letmedrive. in
VM-KOTAKS,Jun 27  2016 8:54:40 AM,1466997880688,1,KALRT: Intl Updt(8.45AM): SGX Nifty 8036.50 DOW 17400.75(-610.32)HANGSE 20093.36(-165.77)FII: Net -629.14Cr Buy 3865.55Cr Sell 4494.69Cr http://bit.ly/M-Insight,1,+919820405904,Manuf. Date
VM-BIGBKT,Jun 27  2016 6:56:08 AM,1466990768338,1,Dear Customer  Your order #MDO-12037390-260616 will be delivered on 27 Jun 2016 between 09:30 am to 12:00 pm. You will receive a delivery confirmation notification once the order is delivered. Thanks  bigbasket.com,1,+919820405936,Manuf. Date
098102 90509,Jun 26  2016 10:54:45 PM,1466961885399,2,I will come tomorrow morning...between 10am-11am... Keep the cash ready...  Thanks  xxx xxx ,1,,Ilyas Khan WagonR
DM-URCLAP,Jun 26  2016 10:37:24 PM,1466960844011,1,You have a new lead from Harpreet . Please respond immediately - http://onelink.to/ucpro  In case of any queries  call 18604204226.   -Team UrbanClap,1,+919768399176,Manuf. Date
VM-648002,Jun 26  2016 8:17:59 PM,1466952479030,1,The Great June Sale- Get Extra 50% Off + 50% cashback on everything. Use Gift Voucher- JUNE . Only for today. Hurry. Visit: http://msg.gd/s/utM8qx/MvOQZR,1,+919820405905,
DM-URCLAP,Jun 26  2016 8:12:15 PM,1466952135841,1,You have a new lead from Prakash. Please respond immediately - http://onelink.to/ucpro  In case of any queries  call 18604204226.   -Team UrbanClap,1,+919768399176,Manuf. Date
DM-URCLAP,Jun 26  2016 8:12:11 PM,1466952131145,1,Urbanclap New Lead ALERT! Service Requirement: All Subjects Home Tutor  Name: Prakash Location: New Delhi  Delhi 110092  India To contact the customer  open the UClap Partner App NOW:http://onelink.to/ucpro  To opt out of New Lead Alert SMS  call us at 9953350750,1,+919768399176,Manuf. Date
DM-URCLAP,Jun 26  2016 8:05:02 PM,1466951702067,1,You have a new lead from Harpreet . Please respond immediately - http://onelink.to/ucpro  In case of any queries  call 18604204226.   -Team UrbanClap,1,+919768399176,Manuf. Date
DM-URCLAP,Jun 26  2016 8:04:49 PM,1466951689151,1,Urbanclap New Lead ALERT! Service Requirement: Science Home Tutors  Name: Harpreet  Location: Preet Vihar  New Delhi  Delhi  India To contact the customer  open the UClap Partner App NOW:http://onelink.to/ucpro  To opt out of New Lead Alert SMS  call us at 9953350750,1,+919768399174,Manuf. Date
VD-611123,Jun 26  2016 3:06:25 PM,1466933785665,1,80 pe 80! Recharge kare Rs80 se aur paye Rs80 ka FullTalkTime. 1time Offer 28/06/2016 tak. Extra benefit recharge ke agle 4Hrs me. Click www.vodafone.in/mvvf32,1,+919811001057,
VK-040600,Jun 26  2016 2:26:49 PM,1466931409417,1,The Great June Sale- Get Extra 50% Off + 50% cashback on everything. Use Gift Voucher- JUNE . Only for today. Hurry. Visit: http://msg.gd/s/P493tn/MLmVof,1,+919830000184,
VD-VFCARE,Jun 26  2016 1:10:37 PM,1466926837288,1,Vodafone SuperNet 4G is in Delhi! Enjoy 4G Internet Speed at no extra cost. To get a FREE 4G Sim delivered at your doorstep please call *121*444# (TollFree),1,+919811001057,Manuf. Date
099101 62183,Jun 26  2016 12:06:59 PM,1466923019524,2,Noc chahiye h...  Saman lene jana h... ,1,,Pankaj Dealer
VM-OYORMS,Jun 26  2016 12:04:47 PM,1466922887314,1,230381 is your verification code for OYO Rooms.,1,+919820405912,Manuf. Date
VK-MGCBRK,Jun 26  2016 12:03:50 PM,1466922830055,1,You contacted Upendra Pa..-9819541881  for 10 000    Paying.Guest in  Andheri East. Stay Updated with Magicbricks App http://goo.gl/1L4A6b,1,+919830000184,Manuf. Date
VM-KOTAKB,Jun 26  2016 12:01:16 PM,1466922676351,1,Rs.747.00 has been debited from your A/c XX6486 via Kotak PG on 26-JUN-16 vide Ref No. 0029243175 .,1,+919820405560,Manuf. Date
VM-MGCBRK,Jun 26  2016 12:01:01 PM,1466922661760,1,Congrats! Your Mobile no. is now verified with Magicbricks. Use the code 'EBAYMB2016' to avail the discount of Rs. 750 on eBay India.,1,+919820405936,Manuf. Date
VM-MGCBRK,Jun 26  2016 12:00:41 PM,1466922641689,1,Dear xxx xxx  760 is your xxx for Magicbricks. Get properties on the go. Download our App http://goo.gl/1L4A6b,1,+919820405905,Manuf. Date
VK-BIGBKT,Jun 26  2016 11:55:46 AM,1466922346095,1,Dear Customer  your Order #MDO-12037390-260616 will be delivered on 27 Jun 2016 between 09:30 am to 12:00 pm. Thanks. bigbasket.com,1,+919830000187,Manuf. Date
VM-IPAYTM,Jun 26  2016 11:44:38 AM,1466921678678,1,Added Rs. 747.0 to your Paytm wallet. Transaction ID: 2399464126. Current Balance: Rs.747.9. T-shirts under Rs.699 + Min 25% cashback. http://m.p-y.tm/amny,1,+919820405912,Manuf. Date
VK-KOTAKB,Jun 26  2016 11:44:12 AM,1466921652587,1,374069 is your Dynamic Access Code for CRN XXX7833.,1,+919830000187,Manuf. Date
VK-PZAHUT,Jun 26  2016 11:41:20 AM,1466921480349,1,Hurry!! few days left for Pizzahut's Any Pan Pizza@Rs 199 each offer (when u buy 2 pizzas) Walk-In/Call@ 0120-3988398 order@ www.pizzahut.co.in T&C,1,+919830000187,Manuf. Date
VM-040801,Jun 26  2016 9:40:44 AM,1466914244545,1,Sundays are fun-days with KFC's 5-in-1 meal box! Save up to 35% on 5 KFC favourites all @Rs. 149. Call 01133994444. T&C apply,1,+919820405905,
VK-ebayin,Jun 26  2016 9:17:47 AM,1466912867290,1,"JUST Rs. 10 919 for a 32"" HD LED TV with 1 year warranty! Use coupon GREATOFF43 to grab this limited period offer only on http://goo.gl/guRDae. Happy shopping!",1,+919830000184,Manuf. Date
DM-URCLAP,Jun 26  2016 9:02:09 AM,1466911929237,1,TOP 5 REASONS TO COME BACK TO URBANCLAP ! 1) Genuine Customers and 2 times higher conversions! 2) Perfectly matched customers in your neighborhood at your price and looking for services you specialize in 3) 40% lesser competition due to removal of 40% low-quality professionals 4) Easy Credit Refunds - To ensure you pay only for serious customers 5) 5 out of 5 responses is a solved problem - Due to lesser competition and nominal lead pricing  professionals respond to leads only if relevant Try us out again by clicking on this link http://partnerapp.urbanclap.com/open and experience the difference. Regards Team UrbanClap,1,+919768399176,Manuf. Date
VK-LETMED,Jun 25  2016 7:21:32 PM,1466862692773,1,Thank You for Registering with LetMeDrive ! Your Mobile Verification Code - fb06 for Mobile Number 9999301628. Please verify your Mobile Number.,1,+919830000185,Manuf. Date
VM-040372,Jun 25  2016 4:10:17 PM,1466851217615,1,Thyro-Whole Body Check Up-Aarogyam  (63 Test) @2600 Covers  Lipid Liver Kidney HbA1c With Vitamin D+B12 & Free Home Service # 9811292699 One Paid 2nd Free,1,+919820405904,
VK-040343,Jun 25  2016 4:10:11 PM,1466851211273,1,Thyro-Whole Body Check Up-Aarogyam  (63 Test) @2600 Covers  Lipid Liver Kidney HbA1c With Vitamin D+B12 & Free Home Service # 9811292699 One Paid 2nd Free,1,+919830000185,
VK-INVTCH,Jun 25  2016 3:30:39 PM,1466848839373,1,NSEMCX 100% SURE TIPS IN EQUITY AND MCX . 100% DAILY PROFIT GUARANTEE. FOR FREE TRIAL JUST MISS CALL ON 08000366566.,1,+919830000185,Manuf. Date
VM-748005,Jun 25  2016 3:04:43 PM,1466847283688,1,xxx  Rs.200 Have Been Credited ToYour OYO Wallet in App. Book Now To Make Best Use Of It! Money Expires on30th June. http://bit.ly/28XujoH,1,+919820405904,
VD-611123,Jun 25  2016 2:15:55 PM,1466844355856,1,Exclusive 1GB Offer! Recharge Rs.147  get 1GB 4G/3G for 28 day. 375MB upfront and 650MB credit in 4Hrs. Available on Etop recharges.Click www.vodafone.in/mvvf32,1,+919811001057,
VM-PZAHUT,Jun 25  2016 1:01:01 PM,1466839861775,1,PizzaHut Better than Buy 1 Get 1 offer: Get Any Pan Pizza@ Rs 199 each; when you buy 2 pizzas  Walk-In/Call@ 39883988 order@ www.pizzahut.co.in T&C,1,+919820405936,Manuf. Date
VM-SPCTNT,Jun 25  2016 12:08:52 PM,1466836732213,1,Dear Customer  Thank You for contacting Spectranet. Your SR number is SR1606209635. Our representative will contact you shortly.,1,+919820405560,Manuf. Date
RM-HUGEDS,Jun 25  2016 11:31:43 AM,1466834503158,1,First Trade & Then Pay Daily Sure Profit in MCX & Equity. This Week Booked Bumper Profit Rs.11.5 Lacs For Next Week Sub Call 07676924224 or MissCall 09223136009,1,+919022000504,Manuf. Date
MD-ANMKHJ,Jun 25  2016 11:17:20 AM,1466833640911,1,Good Figure With No Fikar! Get slim naturally! Rs.1000 off on Weightloss Plans@Anjali Mukerjee Health Total. To avail offer Missed call to 9019838822,1,+919868191091,Manuf. Date
VM-044173,Jun 25  2016 11:10:32 AM,1466833232549,1,Mother's Pride announces the Grand Baby Show on 26th June'16Register children b/w 0-3yrs by 25June'16 4PM by visiting the branches/online.Call:9310610011/12,1,+919820405904,
VK-040371,Jun 25  2016 10:01:33 AM,1466829093930,1,Now  save FLAT 50% on all Ola Share rides valid from 8am to 1pm and 5pm to 10pm. Also book 2 seats and get a friend along for free. Book your Share now! TCA,1,+919830000184,
+919910416666,Jun 25  2016 9:41:15 AM,1466827875115,1,Rajwant singh                      9910416666   9811350105 ,1,+919810051829,
VM-GROFRS,Jun 25  2016 9:19:48 AM,1466826588595,1,Monsoon Madness! Shop from Grofers on 25-26 June and feel the magic of monsoon  Get great offers from Jabong  Gaana  Zoomcar & MobiKwik  bit.ly/msgr1 T&C apply.,1,+919820405904,Manuf. Date
DM-URCLAP,Jun 25  2016 9:00:51 AM,1466825451300,1,TOP 4 REASONS TO COME BACK TO URBANCLAP ! 1) Genuine Customers and 2 times higher conversions! 2) Perfectly matched customers in your neighborhood at your price and looking for services you specialize in 3) 40% lesser competition due to removal of 40% low-quality professionals 4) Easy Credit Refunds - To ensure you pay only for serious customers we refund 40% of our pros due to customer canceling the request or customer inactivity. Try us out again by clicking on this link http://partnerapp.urbanclap.com/open and experience the difference. Regards Team UrbanClap,1,+919768399176,Manuf. Date
DM-URCLAP,Jun 25  2016 3:43:08 AM,1466806388999,1,You have a new lead from ASHUTOSH TIWARI. Please respond immediately - http://onelink.to/ucpro  In case of any queries  call 18604204226.   -Team UrbanClap,1,+919768399176,Manuf. Date
DM-URCLAP,Jun 25  2016 12:43:16 AM,1466795596243,1,You have a new lead from ASHUTOSH TIWARI. Please respond immediately - http://onelink.to/ucpro  In case of any queries  call 18604204226.   -Team UrbanClap,1,+919768399176,Manuf. Date
VM-KOTAKB,Jun 24  2016 10:40:24 PM,1466788224573,1,Cash withdrawal of Rs.1000 made on Kotak Debit card XX7687 on 24-06-2016 22:40:18 at INDRAPURAM GHAZIABAD.Combined balance in A/c XX6486 is Rs 20235.22.,1,+919820405560,Manuf. Date
VM-KotakB,Jun 24  2016 9:55:07 PM,1466785507548,1,Txn of Rs.115 made on Kotak Debit card XX7687 on 24-06-2016 21:54:45 at 07MS00000109971.Combined balance in A/c XX6486 is Rs 21235.22,1,+919820405560,Manuf. Date
VM-MSWIPE,Jun 24  2016 9:54:51 PM,1466785491402,1, 115.00 txn at M/s HUTKAR BURGER  is approved on 24/06/16 with card ending 7687 RR#617621164467 Auth#515135. You agree to pay as per cardholder agreement.,1,+919820405904,Manuf. Date
VM-KotakB,Jun 24  2016 9:50:10 PM,1466785210459,1,Txn of Rs.190 made on Kotak Debit card XX7687 on 24-06-2016 21:49:54 at 07MS00000109971.Combined balance in A/c XX6486 is Rs 21350.22,1,+919820405560,Manuf. Date
VM-MSWIPE,Jun 24  2016 9:49:59 PM,1466785199816,1, 190.00 txn at M/s HUTKAR BURGER  is approved on 24/06/16 with card ending 7687 RR#617621161283 Auth#513940. You agree to pay as per cardholder agreement.,1,+919820405904,Manuf. Date
VK-APOLLO,Jun 24  2016 8:35:46 PM,1466780746235,1,Don't let the busy weekdays stop you from taking care of your family's health. Apollo Clinic is now open on Sundays. Call 1860 500 7788 to book an appointment,1,+919830000187,Manuf. Date
VM-KotakB,Jun 24  2016 7:56:04 PM,1466778364111,1,Txn of Rs.245 made on Kotak Debit card XX7687 on 24-06-2016 19:55:37 at 000011585820082.Combined balance in A/c XX6486 is Rs 21540.22,1,+919820405560,Manuf. Date
VD-611112,Jun 24  2016 6:36:01 PM,1466773561595,1,"""DRUG USE IS LIFE ABUSE  THINK HEALTH NOT DRUGS"" BY-NARCOTICS CONTROL BUREAU.",1,+919811001057,
DM-URCLAP,Jun 24  2016 6:19:51 PM,1466772591235,1,You have a new lead from KAUSHAL KUMAR. Please respond immediately - http://onelink.to/ucpro  In case of any queries  call 18604204226.   -Team UrbanClap,1,+919768399174,Manuf. Date
VM-SNAPDL,Jun 24  2016 6:09:02 PM,1466771942523,1,Hi xxx    Your 5+ friends have recently purchased from Snapdeal.   Most popular categories amongst your friends are:   1. www.snpdl.in/ipsw1wbt   2. www.snpdl.in/ipsw1w6h,1,+919820405905,Manuf. Date
VM-HSBCIN,Jun 24  2016 6:06:36 PM,1466771796629,1,Dear Customer  Thank you for banking with HSBC Advance. Use HSBC Internet Banking to monitor and transact on your accounts. You also earn Extra Loyalty Points on select transactions by using Internet Banking. Visit www.hsbcadvance.co.in for more details.,1,+919820405560,Manuf. Date
IM-DOMINO,Jun 24  2016 5:58:16 PM,1466771296553,1,Hurry!Last few hours Left of Dominos Super Value Friday; Buy 1 Pizza & Get 1 Pizza FREE TODAY; Walk-In/Order@ 68886888 /Online/Mob@ dominos.co.in Cpn:MOB06 T&C,1,+919702000556,Manuf. Date
MD-URCLAP,Jun 24  2016 5:29:49 PM,1466769589884,1,Dear UrbanClap Partner   We would like to being to your notice that 40% of our requests are from parents whose wards are in Class I-VIII. We would like to know if you will be interested to take up these leads in your vicinity. If Yes  please call on +919599985150 Thank You,1,+919868191091,Manuf. Date
VK-KOTAKS,Jun 24  2016 4:18:16 PM,1466765296684,1,KALRT: Market Update (Closed): Sensex 26397.71(-604.51)  Nifty 8088.60(-181.85),1,+919830000187,Manuf. Date
+919899485863,Jun 24  2016 4:05:49 PM,1466764549691,2,I'll call you later.,1,,
VK-FRDKRM,Jun 24  2016 4:01:24 PM,1466764284553,1,Get Flat 20% Off on all online orders of and above Rs 300. Take a pick @ www.firedkaramchari.com & get your delicious food delivered right @ your doorstep.,1,+919830000184,Manuf. Date
